;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
1029;Gastel;Matthias;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1031;Janecek;Dieter;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1033;Kühn (Tübingen);Christian;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1034;Lemke;Steffi;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1036;Mihalic;Irene;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1038;Özdemir;Cem;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Abwesend;Nein;Ja;Ja;Abwesend
1039;Rüffer;Corinna;BÜ90/GR;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Abwesend;Nein;Ja;Ja;Abwesend
1040;Schauws;Ulle;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1041;Schulz-Asche;Kordula;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1042;Verlinden;Julia;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1044;Rupprecht;Albert;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1046;Petry;Christian;SPD;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1047;Jung;Andreas;CDU/CSU;Nein;Ja;Abwesend;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1048;Schieder;Marianne;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1051;Glöckner;Angelika;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1056;Müller (Chemnitz);Detlef;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1061;Ryglewski;Sarah;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Abwesend;Ja
1065;Berghegger;André;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1067;Hahn;André;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1071;Coße;Jürgen;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1073;Kemmer;Ronja;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
1080;Altenkamp;Norbert Maria;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
1081;Amthor;Philipp;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
1084;Biadacz;Marc;CDU/CSU;Nein;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1085;Brand (Fulda);Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1086;Breher;Silvia;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1087;Brehm;Sebastian;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1088;Brodesser;Carsten;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1089;Damerow;Astrid;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1090;Erndl;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1092;Heilmann;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1093;Henrichmann;Marc;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
1095;Jung;Ingmar;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1097;Kießling;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1100;Lehmann;Jens;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1102;Loos;Bernhard;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1104;Müller;Axel;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1105;Müller;Sepp;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1106;Nicolaisen;Petra;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1107;Oster;Josef;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1108;Pilsinger;Stephan;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1109;Ploß;Christoph;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1110;Rouenhoff;Stefan;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1113;Schön;Nadine;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1114;Schreiner;Felix;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
1116;Simon;Björn;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1117;Staffler;Katrin;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1120;Tebroke;Hermann-Josef;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1121;Thies;Hans-Jürgen;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
1122;Throm;Alexander;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1124;Uhl;Markus;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1125;Vieregge;Kerstin;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1126;Vries;Christoph;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
1127;Wadephul;Johann David;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend
1129;Ziemiak;Paul;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1130;Breymaier;Leni;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1131;Budde;Katrin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1132;Dilcher;Esther;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1133;Esdar;Wiebke;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1134;Fahimi;Yasmin;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1135;Gremmels;Timon;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1136;Kaiser;Elisabeth;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1138;Lindh;Helge;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Abwesend;Ja
1139;Maas;Heiko;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Ja;Nein;Abwesend;Abwesend;Abwesend
1141;Mohrs;Falko;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1142;Moll;Claudia;SPD;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1143;Möller;Siemtje;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1144;Ortleb;Josephine;SPD;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1145;Schmid;Nils;SPD;Ja;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1146;Schmidt;Uwe;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1147;Schraps;Johannes;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1148;Schrodi;Michael;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1152;Stein;Mathias;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1153;Töns;Markus;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1154;Völlers;Marja-Liisa;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1155;Baumann;Bernd;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1156;Bernhard;Marc;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1157;Bleck;Andreas;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1158;Boehringer;Peter;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1159;Brandner;Stephan;AfD;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1160;Braun;Jürgen;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1161;Bühl;Marcus;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1163;Bystron;Petr;AfD;Nein;Nein;Enthaltung;Nein;Nein;Abwesend;Nein;Abwesend;Abwesend;Abwesend;Abwesend
1164;Chrupalla;Tino;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1166;Curio;Gottfried;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Nein;Ja;Nein
1168;Ehrhorn;Thomas;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1170;Espendiller;Michael;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1171;Felser;Peter;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1172;Friedhoff;Dietmar;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1174;Frohnmaier;Markus;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1175;Frömming;Götz;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1176;Gauland;Alexander;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1181;Gottschalk;Kay;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1183;Harder-Kühnel;Mariana Iris;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1186;Haug;Jochen;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1191;Hess;Martin;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1193;Hilse;Karsten;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Abwesend;Nein
1194;Höchst;Nicole;AfD;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein
1197;Holm;Leif-Erik;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1198;Huber;Johannes;AfD;Nein;Nein;Enthaltung;Nein;;;;;;;
1199;Jacobi;Fabian;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1200;Jongen;Marc;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1203;Keuter;Stefan;AfD;Abwesend;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1204;Kleinwächter;Norbert;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Nein;Ja;Nein
1205;Komning;Enrico;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1206;König;Jörn;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1207;Kotré;Steffen;AfD;Abwesend;Nein;Enthaltung;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Abwesend;Abwesend
1208;Kraft;Rainer;AfD;Nein;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein
1209;Lucassen;Rüdiger;AfD;Nein;Nein;Enthaltung;Nein;Nein;Abwesend;Nein;Nein;Nein;Ja;Nein
1214;Miazga;Corinna;AfD;Nein;Nein;Enthaltung;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1218;Münzenmaier;Sebastian;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1220;Nolte;Jan Ralf;AfD;Nein;Nein;Enthaltung;Nein;Abwesend;Abwesend;Nein;Enthaltung;Nein;Ja;Nein
1222;Otten;Gerold;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1224;Peterka;Tobias Matthias;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein
1226;Pohl;Jürgen;AfD;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend
1227;Protschka;Stephan;AfD;Nein;Nein;Enthaltung;Nein;Abwesend;Abwesend;Abwesend;Nein;Nein;Ja;Nein
1228;Reichardt;Martin;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1229;Renner;Martin Erwin;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Abwesend;Nein;Abwesend;Nein;Ja;Nein
1231;Schielke-Ziesing;Ulrike;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1233;Schneider;Jörg;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1234;Schulz;Uwe;AfD;Nein;Nein;Enthaltung;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1235;Seitz;Thomas;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1236;Sichert;Martin;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1238;Spaniel;Dirk;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1239;Springer;René;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1240;Storch;Beatrix;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1241;Weidel;Alice;AfD;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1242;Weyel;Harald;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein
1243;Wiehle;Wolfgang;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1245;Wirth;Christian;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1246;Witt;Uwe;AfD;Abwesend;Abwesend;Abwesend;Abwesend;;;;;;;
1248;Alt;Renata;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1249;Bauer;Nicole;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1250;Beeck;Jens;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1253;Brandenburg (Rhein-Neckar);Jens;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1254;Busen;Karlheinz;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1255;Cronenberg;Carl-Julius;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1257;Dürr;Christian;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1259;Faber;Marcus;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1260;Föst;Daniel;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1261;Hacker;Thomas;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1262;Helling-Plahr;Katrin;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1263;Herbrand;Markus;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1264;Herbst;Torsten;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1265;Hessel;Katja;FDP;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1266;Hocker;Gero Clemens;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1267;Hoffmann;Christoph;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1268;Houben;Reinhard;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1270;In der Beek;Olaf;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1271;Jensen;Gyde;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1274;Klein;Karsten;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1277;Kluckert;Daniela;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1278;Köhler;Lukas;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1279;Konrad;Carina;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1280;Kubicki;Wolfgang;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1283;Lambsdorff;Alexander;FDP;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1284;Lechte;Ulrich;FDP;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1285;Lindner;Christian;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
1286;Mansmann;Till;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1288;Meyer;Christoph;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1289;Müller;Alexander;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1291;Müller-Rosentritt;Frank;FDP;Ja;Nein;Nein;Enthaltung;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1292;Reuther;Bernd;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1293;Sattelberger;Thomas;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1294;Sauter;Christian;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1296;Seestern-Pauly;Matthias;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1298;Stark-Watzinger;Bettina;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Abwesend;Abwesend
1299;Strack-Zimmermann;Marie-Agnes;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1300;Strasser;Benjamin;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1302;Teuteberg;Linda;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1303;Theurer;Michael;FDP;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
1304;Ullmann;Andrew;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1305;Ullrich;Gerald;FDP;Ja;Nein;Nein;Enthaltung;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1306;Weeser;Sandra;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1307;Westig;Nicole;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1309;Akbulut;Gökay;DIE LINKE.;Enthaltung;Nein;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend
1316;Domscheit-Berg;Anke;DIE LINKE.;Abwesend;Abwesend;Ja;Enthaltung;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1317;Ferschl;Susanne;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1322;Meiser;Pascal;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Abwesend;Nein;Nein;Abwesend;Nein
1323;Mohamed Ali;Amira;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1324;Nastic;Zaklin;DIE LINKE.;Enthaltung;Abwesend;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1325;Pellmann;Sören;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1326;Perli;Victor;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1328;Riexinger;Bernd;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1332;Tatti;Jessica;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1334;Badum;Lisa;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1337;Bayram;Canan;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Enthaltung;Nein;Nein
1338;Christmann;Anna;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1339;Gelbhaar;Stefan;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Ja;Ja;Nein;Ja;Ja;Ja
1340;Grundl;Erhard;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1341;Hoffmann;Bettina;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1343;Kappert-Gonther;Kirsten;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1344;Lehmann;Sven;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend
1345;Müller;Claudia;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1346;Nestle;Ingrid;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1347;Polat;Filiz;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1348;Rottmann;Manuela;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1349;Schmidt;Stefan;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1353;Cotar;Joana;AfD;Abwesend;Abwesend;Enthaltung;Nein;Abwesend;Abwesend;Abwesend;Nein;Nein;Ja;Nein
1354;Glaser;Albrecht;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Abwesend;Abwesend
1355;Kuhle;Konstantin;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1356;Vogel (Olpe);Johannes;FDP;Ja;Nein;;;;;;;;;
1357;Link (Heilbronn);Michael Georg;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1359;Brandenburg (Südpfalz);Mario;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1363;Baradari;Nezahat;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1368;Heidt;Peter;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Abwesend;Ja;Ja
1371;Weingarten;Joe;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1373;Hanke;Reginald;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Enthaltung;Nein;Ja;Enthaltung;Enthaltung
